flat,supermarket_dist,num_supermarket_2km
261 BISHAN ST 22,0.20128798933168027,16
309A ANCHORVALE RD,0.6659495603439101,15
8 TG PAGAR PLAZA,0.11482781482974459,20
172C EDGEDALE PLAINS,0.15053269555617907,12
302 BT BATOK ST 31,0.18485509632810193,12
427 YISHUN AVE 11,0.31888102984763006,15
180D RIVERVALE CRES,0.6058448191558938,14
744 WOODLANDS CIRCLE,0.41590936999366035,14
239 COMPASSVALE WALK,0.45483941394180083,19
899C WOODLANDS DR 50,0.0609779426486559,14
419 CHOA CHU KANG AVE 4,0.14357244570151279,10
115 HO CHING RD,0.2718795696141416,15
34 JLN BT HO SWEE,0.19082043050492034,25
331 JURONG EAST AVE 1,0.5911913299091163,9
353C ADMIRALTY DR,0.08368584933970546,12
670 HOUGANG AVE 8,0.12675509568674906,18
616 HOUGANG AVE 8,0.5082937091648319,19
312B ANCHORVALE LANE,0.7028748349765152,15
5 TELOK BLANGAH CRES,0.10356178678254546,18
632 JURONG WEST ST 65,0.3816328630088244,9
506 BISHAN ST 11,0.06645481768212946,13
286 BT BATOK EAST AVE 3,0.12941560674771826,16
513 JELAPANG RD,0.20687883573152324,11
236 CHOA CHU KANG CTRL,0.43045949065405453,14
232 BT BATOK EAST AVE 5,0.29569244899408553,17
142 BT BATOK ST 11,0.15889478702465396,21
323 ANG MO KIO AVE 3,0.17465823014081078,14
281 CHOA CHU KANG AVE 3,0.12529591222761396,11
139 BT BATOK WEST AVE 6,0.3233807010120846,19
711 PASIR RIS ST 72,0.30247373711119596,6
109 SERANGOON NTH AVE 1,0.28383341463634626,17
139 BISHAN ST 12,0.47000433467773817,12
406C FERNVALE RD,0.3287273006500768,13
188 BISHAN ST 13,0.2109964755361516,12
335A SMITH ST,0.035730840933329636,27
932 YISHUN CTRL 1,0.20930661842470388,17
766 YISHUN AVE 3,0.10878048856320356,16
116 EDGEFIELD PLAINS,0.2482542147290953,18
361 WOODLANDS AVE 5,0.26889503842087,11
167D PUNGGOL EAST,0.17744999803727704,11
340 CHOA CHU KANG LOOP,0.1578930541695018,11
22 TELOK BLANGAH CRES,0.14678203198329473,16
546 CHOA CHU KANG ST 52,0.10539237122682665,8
139 BEDOK RESERVOIR RD,0.22514737934205695,15
23 DOVER CRES,0.3026072363211965,18
917 JURONG WEST ST 91,0.43942571529897506,9
222 BISHAN ST 23,0.5006405595110376,15
176A EDGEFIELD PLAINS,0.2877595243281115,15
183 PASIR RIS ST 11,0.47419649099891115,12
319A ANCHORVALE DR,0.5786247514760786,16
774 YISHUN AVE 3,0.19053938006120444,16
9 JLN BATU,0.5869674877105813,19
321 TAH CHING RD,0.5096673045368846,15
207 BISHAN ST 23,0.4959623357894528,16
650 WOODLANDS RING RD,0.20118247038833126,15
804 YISHUN RING RD,0.1906889716562435,14
104 RIVERVALE WALK,0.3392071866826008,15
547A SEGAR RD,0.05209883667792806,8
204 SERANGOON CTRL,0.22125859203829285,11
782 PASIR RIS ST 71,0.6683208659479061,6
15 UPP BOON KENG RD,0.18560556093823175,31
203 BEDOK NTH ST 1,0.12123238220515435,20
206C COMPASSVALE LANE,0.5108931154265743,16
430A FERNVALE LINK,0.39196072730308407,11
140 RIVERVALE ST,0.35661371238214645,17
