flat,school,school_dist,num_school_2km
128 BT MERAH VIEW,Zhangde Primary School,0.37489020145888025,8
695 JURONG WEST CTRL 1,Boon Lay Garden Primary School,0.6180941524404404,10
803 CHAI CHEE RD,Opera Estate Primary School,0.47613472592991496,8
798 WOODLANDS DR 72,Admiralty Primary School,0.40819228201453317,12
206 BT BATOK ST 21,Bukit View Primary School,0.47485125195052785,8
352 YISHUN RING RD,Huamin Primary School,0.09775880620782146,11
450 BT PANJANG RING RD,Beacon Primary School,0.15069243337094954,6
195C PUNGGOL RD,Edgefield Primary School,0.11400822640428324,15
424 SERANGOON CTRL,Maris Stella High School,0.7159406402568764,7
407 SERANGOON AVE 1,Yangzheng Primary School,0.5492884040472323,7
202B PUNGGOL FIELD,Edgefield Primary School,0.37005207028172066,16
374 CLEMENTI AVE 4,Pei Tong Primary School,0.3358496277875289,5
727 CLEMENTI WEST ST 2,Qifa Primary School,1.208244601284918,4
111 ANG MO KIO AVE 4,Ang Mo Kio Primary School,0.29795377860853783,9
889 TAMPINES ST 81,Junyuan Primary School,0.9825692204924666,6
603 HOUGANG AVE 4,Xinmin Primary School,0.36032930063644764,12
118D JLN MEMBINA,Zhangde Primary School,0.20666733221427933,8
243 BISHAN ST 22,Catholic High School (Primary),0.7419416953281588,12
113 BT PURMEI RD,Radin Mas Primary School,0.30704016725190747,7
345 YISHUN AVE 11,Huamin Primary School,0.16417612204877724,11
607 SENJA RD,West View Primary School,0.18076084161223807,10
341 CLEMENTI AVE 5,Pei Tong Primary School,0.3723333987331239,5
436 TAMPINES ST 43,Tampines North Primary School,0.3195102867682527,13
401 FAJAR RD,Zhenghua Primary School,0.0965176244517926,8
588A MONTREAL DR,Wellington Primary School,0.4172330675517492,6
209 JURONG EAST ST 21,Fuhua Primary School,0.41219825568442275,6
621 WOODLANDS DR 52,Woodlands Ring Primary School,0.07744112939135689,10
360B ADMIRALTY DR,Canberra Primary School,0.26998888817881495,8
218 YISHUN ST 21,Xishan Primary School,0.23594062059507034,11
586 WOODLANDS DR 16,Innova Primary School,0.46731904909098093,10
53 KENT RD,Farrer Park Primary School,0.4639319971467481,6
278 BISHAN ST 24,Catholic High School (Primary),0.34398608706147377,10
3 HOLLAND CL,New Town Primary School,0.9995892872218909,6
431D YISHUN AVE 1,Northland Primary School,0.7030380921823186,6
475B UPP SERANGOON CRES,CHIJ Our Lady of the Nativity,0.38539702520360264,11
530 BT BATOK ST 51,Lianhua Primary School,0.41299277644594645,6
22 JLN MEMBINA,Zhangde Primary School,0.054215861204934455,8
